model_instance,model,engine,display_name,speedup_vs_no_cache_mean_mean,speedup_vs_no_cache_mean_min,speedup_vs_no_cache_mean_max,speedup_vs_no_cache_p95_mean,speedup_vs_no_cache_p95_min,speedup_vs_no_cache_p95_max,energy_reduction_vs_no_cache_pct_mean,energy_reduction_vs_no_cache_pct_min,energy_reduction_vs_no_cache_pct_max,idle_adjusted_energy_reduction_vs_no_cache_pct_mean,idle_adjusted_energy_reduction_vs_no_cache_pct_min,idle_adjusted_energy_reduction_vs_no_cache_pct_max,hit_rate_mean,hit_rate_min,hit_rate_max,reuse_successes_mean,reuse_successes_min,reuse_successes_max,reused_prefix_tokens_total_mean,reused_prefix_tokens_total_min,reused_prefix_tokens_total_max,wasted_compute_ratio_mean,wasted_compute_ratio_min,wasted_compute_ratio_max
google_gemma-4-12B-it,google/gemma-4-12B-it,shadow_kv,MeritKV-Sem,0.997376138369951,0.97357219860304,1.0323596206712,1.00776639286063,0.967339743481842,1.03274798508002,0.204985796951206,-2.92774634957853,2.97037884620486,-0.992723335573587,-6.37970420500949,1.60442712161612,,,,,,,,,,,,
google_gemma-4-12B-it,google/gemma-4-12B-it,shadow_kv_plus,MeritKV,1.43233141380313,1.0513294611252,2.32723883299838,1.53454183738615,1.03897703186615,2.46664032679333,29.1854741190634,12.420310811362,60.648415288616,30.3742401243224,9.57714713633393,64.7511271933338,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
google_gemma-4-26B-A4B-it,google/gemma-4-26B-A4B-it,shadow_kv,MeritKV-Sem,1.0054397857142,0.962722029026784,1.02573264374197,0.993135109979303,0.96211471949908,1.02103985072674,-0.594071402777198,-4.39432784670294,1.49010030606983,0.772205640789431,-4.10661686499868,2.95492028082405,,,,,,,,,,,,
google_gemma-4-26B-A4B-it,google/gemma-4-26B-A4B-it,shadow_kv_plus,MeritKV,1.20284233142159,1.0444757730225,1.60839772280187,1.22777557385726,1.0307951162664,1.58183615235439,20.8150444705159,5.42486204461266,46.5881935750787,23.1696257547727,8.5281084251604,51.6750074353568,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
google_gemma-4-31B-it,google/gemma-4-31B-it,shadow_kv,MeritKV-Sem,1.00822298606774,0.980606881993471,1.03155695900131,0.997492593664718,0.980216110601202,1.02027078697618,-0.643404742591638,-3.7286335460852,1.55460799986196,-0.132139772706239,-2.79514008844902,3.85353989470579,,,,,,,,,,,,
google_gemma-4-31B-it,google/gemma-4-31B-it,shadow_kv_plus,MeritKV,1.57115573075553,1.1298037399548,2.64278457300174,1.6996267378663,1.12198383529083,2.90462625414824,30.5262755922695,13.2630171926093,64.712696805745,32.5064178166602,12.9550251309162,66.7997853485685,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
google_gemma-4-E2B-it,google/gemma-4-E2B-it,shadow_kv,MeritKV-Sem,0.999293324875961,0.973678087660637,1.02205228656651,0.992568358111886,0.965029469019405,1.02018453078977,-0.556297212905851,-4.5842524188242,4.64872551830014,-1.807861036541,-5.51917891753355,1.91853814322799,,,,,,,,,,,,
google_gemma-4-E2B-it,google/gemma-4-E2B-it,shadow_kv_plus,MeritKV,1.27527981757778,1.08501441877493,1.64416079795121,1.28770708076632,1.05345251924159,1.63982071061239,24.9516417831462,11.7076521231191,52.6013321971761,30.4858138414678,14.7406752319511,63.1836675476717,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
gpt2,gpt2,shadow_kv,MeritKV-Sem,1.02080005005576,0.902784820689645,1.11791607756052,1.00583225629757,0.938056251303289,1.10871744890507,-1.34212075195346,-3.7384453301552,2.35253864726631,-1.49000505957814,-15.1258238561132,10.7514148742011,,,,,,,,,,,,
gpt2,gpt2,shadow_kv_plus,MeritKV,0.771844865712472,0.703638552491934,0.86774445994753,0.830219721736791,0.75933969792569,0.931664968182392,0.299022644154291,-4.88288989678188,7.37837337154465,5.5370554814752,-12.7795354929933,28.625919193304,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
microsoft_Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,shadow_kv,MeritKV-Sem,1.00198878390419,0.978657483091061,1.06128144852019,1.00242706459148,0.976328318467965,1.03210120856046,-0.15194062569475,-2.67660691048726,2.14021872715453,-2.11249388333552,-6.30330430264161,2.24819848300061,,,,,,,,,,,,
