backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,3225.055,25.1957421875,0.045124597733314675,0.0,3035.154590599711,23.71214523906024,,,31.53239136679531,Qwen/Qwen2.5-7B-Instruct,128,31.472599490371067,32.06853580122697,32.218644178356044,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,31.71342091906909,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/ag_news/no_cache/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,12.18831906229968,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,3346.757,26.1465390625,0.046827438085910174,0.0,2770.461759062156,21.644232492673094,,,31.590455734658462,Qwen/Qwen2.5-7B-Instruct,128,31.53097050380893,32.14003950415645,32.23245530796703,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,31.655130536875472,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,12.188404205865421,0.0
hf,3955.4365790245356,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,127,3003.894,23.467921875,0.042030138519658596,0.9921875,2158.5713312613393,16.863838525479213,,,31.050742062348036,Qwen/Qwen2.5-7B-Instruct,128,30.616225994890556,31.57523199406569,32.51817191237933,1,127,128,0,semantic,55214,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,32.205349488655045,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,12.797677306029723,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,no_cache,,3218.788,25.14678125,0.04710789134761738,0.0,2608.5466468210016,20.379270678289075,,,31.46024270415637,Qwen/Qwen2.5-7B-Instruct,128,31.43069698853651,32.10109633510001,32.46584845968755,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,31.786150202454888,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/alpaca_eval/no_cache/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,1.0,1.0,12.188279986626101,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,shadow_kv,,3206.015,25.0469921875,0.04692095480622878,0.0,2632.690496424713,20.56789450331807,,,31.455789007736712,Qwen/Qwen2.5-7B-Instruct,128,31.41057049651863,32.14952264825115,32.478396804363,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,31.790650673363967,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,12.188217630168134,0.0
hf,3852.0222529768944,0,alpaca_eval,cuda,float16,0,0,nvml,shadow_kv_plus,127,3015.654,23.559796875,0.044134966631541976,0.9921875,2423.566624793595,18.934114256199962,,,30.248390226120137,Qwen/Qwen2.5-7B-Instruct,128,29.94837249570992,31.120830094005214,31.74351943933289,1,127,128,0,semantic,52072,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,33.05961052884323,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,12.797971330851095,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,no_cache,,3307.801,25.8421953125,0.048834443050121794,0.0,2727.57733220706,21.309197907867656,,,31.51213300782274,Qwen/Qwen2.5-7B-Instruct,128,31.417816499015316,32.01402655831771,32.16360999562312,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,31.733808680985025,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/banking77/no_cache/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_banking77_semantic_cuda.json,1.0,1.0,12.188155308023495,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,shadow_kv,,3284.829,25.6627265625,0.048495297851922935,0.0,2686.837200927451,20.99091563224571,,,31.457490077514194,Qwen/Qwen2.5-7B-Instruct,128,31.40647750115022,31.830612807243597,32.01123685896164,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,31.788931587863704,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/banking77/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_banking77_semantic_cuda.json,,,12.188581656539725,0.0
hf,3868.0561051005498,0,banking77,cuda,float16,0,0,nvml,shadow_kv_plus,127,2898.714,22.646203125,0.04279492138480844,0.9921875,2279.2465276212342,17.806613497040892,,,30.367824249992736,Qwen/Qwen2.5-7B-Instruct,128,29.96589849499287,31.099020352121443,31.489798468828667,1,127,128,0,semantic,51479,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,32.92958994256031,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_banking77_semantic_cuda.json,,,12.797705949771771,0.0
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,no_cache,,4471.158,34.930921875,0.03985735298050438,0.0,3815.214926291599,29.806366611653118,,,44.68457421103267,Qwen/Qwen2.5-7B-Instruct,128,43.65764398971805,48.751950410951395,49.19544272168423,,,,,semantic,112179,0,0,0,,,,42,,,,,,,,,,,,22.379087585735547,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/cnn_dailymail/no_cache/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,1.0,1.0,10.665044315239184,0.0
