model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
Qwen/Qwen2.5-14B-Instruct,ag_news,shadow_kv,0.9980053328587326,0.9983332164183342,0.3228512928765349,4.889486389367141,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,ag_news,shadow_kv_plus,1.0874413161865035,1.0861298311804086,11.874103690392335,17.911227320560705,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,alpaca_eval,shadow_kv,0.9993390500249414,0.996391131913652,-0.6910648334731784,-1.0866368082645848,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,alpaca_eval,shadow_kv_plus,1.0871613672859095,1.0964598696673953,12.036658364000347,13.919498802797156,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,banking77,shadow_kv,1.0008485229446284,1.000171212858059,-0.3437416211545688,-0.1905574447231864,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,banking77,shadow_kv_plus,1.081861233599656,1.0851904246542046,12.162527148278611,12.094695823872131,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,cnn_dailymail,shadow_kv,0.9969420426686368,0.9937263496053924,-1.1420826131318038,-0.2578910472563716,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,cnn_dailymail,shadow_kv_plus,0.9868504094112752,0.9325469442419236,2.087920759725547,4.072960123522364,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,daily_dialog,shadow_kv,1.0011436004866645,1.003118792904566,-3.041287135072449,-2.5633284855501737,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,daily_dialog,shadow_kv_plus,1.0666726750839193,0.9984271975672158,10.3824409616205,12.046430537809258,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,dolly,shadow_kv,1.0019261478018966,1.0022492438322743,0.703378410385675,0.567292523731218,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,dolly,shadow_kv_plus,1.053292740514591,0.968733715097386,9.652345103729584,11.101870515772994,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,oasst1,shadow_kv,1.0002392958008974,1.0009072594761868,1.0184015293385094,1.0904593863985954,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,oasst1,shadow_kv_plus,1.0529491327179066,0.9342479759635512,10.96767639723324,12.632776507433803,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,samsum,shadow_kv,1.0000624456623686,1.0000413905487902,1.438923569134471,1.86821293245864,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,samsum,shadow_kv_plus,1.0349663662558934,1.0301199027633745,8.864994891421732,10.433116133399263,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,ultrachat,shadow_kv,0.9999723966860992,0.998705698818408,0.3826181843397491,0.7222239067813788,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,ultrachat,shadow_kv_plus,1.006682181655155,1.0273460899113995,5.043925461654556,6.137470053515561,0.9921875,127,16256,0.0
Qwen/Qwen2.5-14B-Instruct,xsum,shadow_kv,1.0020373166532932,1.002834724933609,-0.0897422497684728,0.1574003318840467,0.0,0,0,0.0
Qwen/Qwen2.5-14B-Instruct,xsum,shadow_kv_plus,1.0010040520236705,0.935071212853759,2.6412749616820417,4.311696395015008,0.9921875,127,16256,0.0
