backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,6116.748,47.78709375,0.08558483279697775,0.0,5534.889699085021,43.241325774101725,,,64.92150410895192,Qwen/Qwen2.5-14B-Instruct,128,64.88852599431993,65.65440525300801,65.8031173227937,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,15.403216757298011,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/ag_news/no_cache/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,8.531846858661627,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,6097.0,47.6328125,0.08530852105778648,0.0,5264.262020581775,41.127047035795115,,,65.05125971921188,Qwen/Qwen2.5-14B-Instruct,128,64.98163898504572,65.76401964121033,66.07076379310456,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,15.372492466962411,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,8.82621951245916,0.0
hf,7588.901853916468,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,127,5390.439,42.1128046875,0.07542240100741571,0.9921875,4543.523023139604,35.49627361827816,,,59.7011564142349,Qwen/Qwen2.5-14B-Instruct,128,59.36514200584497,60.44802690084907,63.83230013743743,1,127,128,0,semantic,55214,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,16.75009430406216,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,9.141472992605422,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,no_cache,,6054.28,47.2990625,0.08860613511298443,0.0,5203.116350961276,40.64934649188497,,,64.52084682052828,Qwen/Qwen2.5-14B-Instruct,128,64.5036105051986,65.80893345308141,66.14272355451249,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,15.498866634246266,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/alpaca_eval/no_cache/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,1.0,1.0,8.826364183386852,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,shadow_kv,,6096.119,47.6259296875,0.08921846095304999,0.0,5259.655328407654,41.0910572531848,,,64.5635200775132,Qwen/Qwen2.5-14B-Instruct,128,64.53884899383411,66.04728940801579,66.19983414115268,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,15.488622658730925,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,8.826269872836962,0.0
hf,7544.202933102497,0,alpaca_eval,cuda,float16,0,0,nvml,shadow_kv_plus,127,5325.547,41.6058359375,0.07794091733988993,0.9921875,4478.868632781078,34.991161193602174,,,59.34799447629757,Qwen/Qwen2.5-14B-Instruct,128,59.20707248878898,60.01946379765286,63.22599472769072,1,127,128,0,semantic,52072,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,16.849769041469134,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,9.141439759364763,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,no_cache,,6101.676,47.66934375,0.0900815826382225,0.0,5217.120415061732,40.75875324266978,,,64.74312812486005,Qwen/Qwen2.5-14B-Instruct,128,64.70995499694254,65.27209210180445,65.96443111804547,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,15.445654681242074,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/banking77/no_cache/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_banking77_semantic_cuda.json,1.0,1.0,8.531738407876869,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,shadow_kv,,6122.65,47.833203125,0.09039123053074481,0.0,5227.062026412806,40.836422081350044,,,64.68823867010087,Qwen/Qwen2.5-14B-Instruct,128,64.64736101042945,65.2609185934125,65.54306607853505,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,15.458760673633915,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/banking77/shadow_kv/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_banking77_semantic_cuda.json,,,8.826108194124433,0.0
hf,7609.251820089412,0,banking77,cuda,float16,0,0,nvml,shadow_kv_plus,127,5359.558,41.871546875,0.07912538569424965,0.9921875,4586.1255700948805,35.829106016366254,,,59.844207476999145,Qwen/Qwen2.5-14B-Instruct,128,59.500718001800124,60.14805385202635,63.838834546622834,1,127,128,0,semantic,51479,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,16.710055027202852,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_banking77_semantic_cuda.json,,,9.141077128327842,0.0
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,no_cache,,8274.883,64.6475234375,0.07376499166510665,0.0,7288.003257498177,56.93752544920451,,,89.38081013332067,Qwen/Qwen2.5-14B-Instruct,128,88.3529864877346,93.59588700172026,96.09997890045634,,,,,semantic,112179,0,0,0,,,,42,,,,,,,,,,,,11.18808386843213,results_blackwell_semantic_qwen14b_longprefix_n128_20260711/Qwen_Qwen2_5-14B-Instruct/semantic/seed_42/cnn_dailymail/no_cache/benchmark_hf_Qwen_Qwen2.5-14B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,1.0,1.0,7.1099184420424075,0.0
