backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,5500.276,42.97090625,0.07589309269531141,0.0,4533.544556558012,35.41831684810947,,,93.01429844560971,google/gemma-4-26B-A4B-it,128,92.93992698803777,95.35433654091321,96.59250331271323,,,,,semantic,72474,0,0,0,,,,42,,,,,,,,,,,,10.75103523556383,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ag_news/no_cache/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,6.735589769112708,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,5462.389,42.6749140625,0.07537032590998151,0.0,4531.552334467171,35.402752613024774,,,92.7155131643076,google/gemma-4-26B-A4B-it,128,92.67149300285382,94.98886540241074,96.50871636360534,,,,,semantic,72474,0,0,0,,,,42,,,,,,,,,,,,10.785681552857618,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ag_news_semantic_cuda.json,,,6.917659941828019,0.0
hf,11201.866216913913,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,127,5002.623,39.0829921875,0.06902645086513784,0.9921875,3981.1012193102224,31.102353275861113,,,88.24037447664068,google/gemma-4-26B-A4B-it,128,88.28590800840175,90.58254289921024,91.63181677591638,1,127,128,0,semantic,56218,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,11.332680827014437,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ag_news_semantic_cuda.json,,,7.1098176235729325,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,no_cache,,5275.393,41.2140078125,0.07684252461690846,0.0,4322.965261429289,33.77316610491632,,,90.15181911649961,google/gemma-4-26B-A4B-it,128,89.61302899842849,93.83339755077031,95.95545036703697,,,,,semantic,68652,0,0,0,,,,42,,,,,,,,,,,,11.092399574408363,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/alpaca_eval/no_cache/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_alpaca_eval_semantic_cuda.json,1.0,1.0,6.9177857063454935,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,shadow_kv,,5260.901,41.1007890625,0.07663143098525899,0.0,4249.060050813131,33.195781646977586,,,89.90555985212723,google/gemma-4-26B-A4B-it,128,89.56786249473225,93.4164670019527,94.8125932693074,,,,,semantic,68652,0,0,0,,,,42,,,,,,,,,,,,11.122782635965526,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_alpaca_eval_semantic_cuda.json,,,7.110027246708668,0.0
hf,10973.094236047473,0,alpaca_eval,cuda,float16,0,0,nvml,shadow_kv_plus,127,4884.76,38.1621875,0.07115247917030823,0.9921875,3989.0734764970803,31.16463653513344,,,86.41242285261796,google/gemma-4-26B-A4B-it,128,86.03673550533131,89.4829752483929,91.1108450248139,1,127,128,0,semantic,52396,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,11.5724101580344,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_alpaca_eval_semantic_cuda.json,,,7.313124250998994,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,no_cache,,5230.218,40.861078125,0.07604382151528809,0.0,4334.447770618548,33.862873207957406,,,89.48301457769503,google/gemma-4-26B-A4B-it,128,89.20689399383264,91.39943818663596,92.41452351823682,,,,,semantic,68779,0,0,0,,,,42,,,,,,,,,,,,11.175305220989557,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/banking77/no_cache/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_banking77_semantic_cuda.json,1.0,1.0,6.9178956174406165,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,shadow_kv,,5233.533,40.8869765625,0.07609201936637637,0.0,4216.670423415522,32.94273768293377,,,89.58149978013807,google/gemma-4-26B-A4B-it,128,89.33577751304256,91.38947979081422,92.24648522183998,,,,,semantic,68779,0,0,0,,,,42,,,,,,,,,,,,11.163019177557006,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/banking77/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_banking77_semantic_cuda.json,,,7.110016721532954,0.0
hf,10609.325050958432,0,banking77,cuda,float16,0,0,nvml,shadow_kv_plus,127,4753.08,37.1334375,0.06910655868797162,0.9921875,3857.698746706005,30.138271458640663,,,83.57430442288205,google/gemma-4-26B-A4B-it,128,83.32719500322128,85.32747710341937,85.99063627872965,1,127,128,0,semantic,52523,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,11.965400213683466,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_banking77_semantic_cuda.json,,,7.5277984822132105,0.0
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,no_cache,,6958.614,54.364171875,0.06203300171159606,0.0,5883.445450788818,45.96441758428764,,,111.43644959417998,google/gemma-4-26B-A4B-it,128,111.02120650321012,113.90027130109956,115.3980611418956,,,,,semantic,112176,0,0,0,,,,42,,,,,,,,,,,,8.973724518698479,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/cnn_dailymail/no_cache/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_cnn_dailymail_semantic_cuda.json,1.0,1.0,6.0940218178626075,0.0
