dataset,energy_reduction_vs_no_cache_pct,engine,engine_gpu_joules_per_request,engine_idle_adjusted_joules_per_request,engine_mean_latency_ms,engine_p95_latency_ms,fast_exact_path_hits,hit_rate,idle_adjusted_energy_reduction_vs_no_cache_pct,model,no_cache_gpu_joules_per_request,no_cache_idle_adjusted_joules_per_request,no_cache_mean_latency_ms,no_cache_p95_latency_ms,policy_exact_total,policy_semantic_partial_total,prompt_mode,reuse_successes,reused_prefix_tokens_total,seed,semantic_blocked_by_backend_total,semantic_opportunity_plans_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,wasted_compute_ratio
ag_news,0.6888199792155834,shadow_kv,42.6749140625,35.402752613024774,92.7155131643076,94.98886540241074,,0.0,0.043944028033412436,google/gemma-4-26B-A4B-it,42.97090625,35.41831684810947,93.01429844560971,95.35433654091321,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ag_news_semantic_cuda.json,1.0032226028968056,1.0038475155688427,0.0
ag_news,9.047782329468562,shadow_kv_plus,39.0829921875,31.102353275861113,88.24037447664068,90.58254289921024,127,0.9921875,12.185682314485058,google/gemma-4-26B-A4B-it,42.97090625,35.41831684810947,93.01429844560971,95.35433654091321,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ag_news_semantic_cuda.json,1.05410135663276,1.0526789543434707,0.0
alpaca_eval,0.2747093913192854,shadow_kv,41.1007890625,33.195781646977586,89.90555985212723,93.4164670019527,,0.0,1.7095952927394782,google/gemma-4-26B-A4B-it,41.2140078125,33.77316610491632,90.15181911649961,93.83339755077031,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_alpaca_eval_semantic_cuda.json,1.0027390882697067,1.0044631376265696,0.0
alpaca_eval,7.404813252775666,shadow_kv_plus,38.1621875,31.16463653513344,86.41242285261796,89.4829752483929,127,0.9921875,7.723674948565633,google/gemma-4-26B-A4B-it,41.2140078125,33.77316610491632,90.15181911649961,93.83339755077031,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_alpaca_eval_semantic_cuda.json,1.0432738273090598,1.0486173184374035,0.0
banking77,-0.06338167931050884,shadow_kv,40.8869765625,32.94273768293377,89.58149978013807,91.38947979081422,,0.0,2.71723996771608,google/gemma-4-26B-A4B-it,40.861078125,33.862873207957406,89.48301457769503,91.39943818663596,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/banking77/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_banking77_semantic_cuda.json,0.9989006077964228,1.0001089665445577,0.0
banking77,9.122717255762568,shadow_kv_plus,37.1334375,30.138271458640663,83.57430442288205,85.32747710341937,127,0.9921875,10.999071834346008,google/gemma-4-26B-A4B-it,40.861078125,33.862873207957406,89.48301457769503,91.39943818663596,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_banking77_semantic_cuda.json,1.070700081748993,1.071160677537169,0.0
cnn_dailymail,-0.5494916085300906,shadow_kv,54.6628984375,45.67932612390756,111.60395181275362,114.30755585824954,,0.0,0.6202438219896758,google/gemma-4-26B-A4B-it,54.364171875,45.96441758428764,111.43644959417998,113.90027130109956,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_cnn_dailymail_semantic_cuda.json,0.9984991372092749,0.996436941074525,0.0
cnn_dailymail,47.977485171616074,shadow_kv_plus,28.281609375,22.267013820017247,69.881405938645,71.60817915573716,127,0.9921875,51.555975273297165,google/gemma-4-26B-A4B-it,54.364171875,45.96441758428764,111.43644959417998,113.90027130109956,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_cnn_dailymail_semantic_cuda.json,1.5946509389353125,1.5906042109153953,0.0
daily_dialog,-0.6926243677813047,shadow_kv,43.8906484375,35.64776039693818,94.55489351637425,101.32087204547133,,0.0,2.4646127519753502,google/gemma-4-26B-A4B-it,43.5887421875,36.54854038390066,94.69205210996279,101.87081523836241,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/daily_dialog/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_daily_dialog_semantic_cuda.json,1.0014505710755708,1.0054277384490362,0.0
daily_dialog,10.474644130266588,shadow_kv_plus,39.0229765625,31.226784989837007,87.71193929021592,89.61981488973834,127,0.9921875,14.560787758320005,google/gemma-4-26B-A4B-it,43.5887421875,36.54854038390066,94.69205210996279,101.87081523836241,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/daily_dialog/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_daily_dialog_semantic_cuda.json,1.079579962274594,1.1366996836993783,0.0
dolly,0.2555802564749934,shadow_kv,43.0238359375,35.357872872092095,93.38606209428235,105.06554745661559,,0.0,-1.2494381684640086,google/gemma-4-26B-A4B-it,43.134078125,34.92154970110733,93.38088722586235,105.19239350032875,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/dolly/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_dolly_semantic_cuda.json,0.9999445862872473,1.0012073038858484,0.0
dolly,10.62481050184726,shadow_kv_plus,38.5511640625,31.120042621343764,86.7366227499815,91.81206984794699,127,0.9921875,10.885848744687939,google/gemma-4-26B-A4B-it,43.134078125,34.92154970110733,93.38088722586235,105.19239350032875,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/dolly/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_dolly_semantic_cuda.json,1.0766027574653552,1.1457359982684343,0.0
oasst1,-0.5667079017177775,shadow_kv,44.1980703125,35.83205702570791,95.4447229928519,105.28153620034573,,0.0,3.2030174579374333,google/gemma-4-26B-A4B-it,43.9490078125,37.01774175670951,95.055510376028,104.88077815098222,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/oasst1/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_oasst1_semantic_cuda.json,0.9959221148679634,0.996193463129177,0.0
oasst1,11.55682375508691,shadow_kv_plus,38.8698984375,31.907240210764,88.28217690529527,90.6949230004102,127,0.9921875,13.805546485069488,google/gemma-4-26B-A4B-it,43.9490078125,37.01774175670951,95.055510376028,104.88077815098222,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/oasst1/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_oasst1_semantic_cuda.json,1.076723679775124,1.1564128914967806,0.0
samsum,-0.0946649479512291,shadow_kv,46.13546875,37.610310969569326,98.47998274960901,108.958949791122,,0.0,0.2815723769118418,google/gemma-4-26B-A4B-it,46.0918359375,37.71651024395142,98.4918514917581,108.75530764315045,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/samsum/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_samsum_semantic_cuda.json,1.000120519336191,0.9981310195411948,0.0
samsum,20.965768917522848,shadow_kv_plus,36.428328125,29.72399656297739,84.4815873118705,86.15775030484656,127,0.9921875,21.191021198086013,google/gemma-4-26B-A4B-it,46.0918359375,37.71651024395142,98.4918514917581,108.75530764315045,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/samsum/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_samsum_semantic_cuda.json,1.1658380793458294,1.2622811907036613,0.0
ultrachat,0.28929923560007714,shadow_kv,51.3466875,43.74258295869144,106.84785233729599,109.74242114680237,,0.0,-2.9242491172492766,google/gemma-4-26B-A4B-it,51.4956640625,42.49978341727881,107.13654778896853,110.15419345203554,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ultrachat/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ultrachat_semantic_cuda.json,1.0027019303182734,1.0037521707734363,0.0
ultrachat,36.015517083128195,shadow_kv_plus,32.949234375,25.45534228786374,77.09563521825658,79.96191309503047,127,0.9921875,40.10477173981419,google/gemma-4-26B-A4B-it,51.4956640625,42.49978341727881,107.13654778896853,110.15419345203554,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/ultrachat/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_ultrachat_semantic_cuda.json,1.3896577605939244,1.3775832666875185,0.0
xsum,-0.33068187797275145,shadow_kv,51.9913671875,43.746301589082904,107.60048842246306,112.21487465008977,,0.0,0.7105484431159155,google/gemma-4-26B-A4B-it,51.8200078125,44.05936471914153,107.52770418991986,112.24665045447182,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/xsum/shadow_kv/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_xsum_semantic_cuda.json,0.9993235696825331,1.0002831692721765,0.0
xsum,42.757887465341646,shadow_kv_plus,29.6628671875,22.669005201820166,72.27901181227026,75.53779394729645,127,0.9921875,48.548951292591724,google/gemma-4-26B-A4B-it,51.8200078125,44.05936471914153,107.52770418991986,112.24665045447182,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-26B-A4B-it/semantic/seed_42/xsum/shadow_kv_plus/benchmark_hf_google_gemma-4-26B-A4B-it_public_dataset_xsum_semantic_cuda.json,1.4876753499231667,1.4859667537125527,0.0
ag_news,-1.8013385260510575,shadow_kv,104.1332890625,92.08743748071188,154.03242720299204,156.98649695477798,,0.0,3.7922129770488366,google/gemma-4-31B-it,102.2906875,95.7172390408935,153.11822688931898,156.00869844856788,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,0.9940648840619236,0.9937714483399692,0.0
ag_news,11.70556520602132,shadow_kv_plus,90.316984375,79.28499692203935,134.48983625835353,136.26026275233016,127,0.9921875,17.167484440116127,google/gemma-4-31B-it,102.2906875,95.7172390408935,153.11822688931898,156.00869844856788,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.1385115124624028,1.1449317306259195,0.0
alpaca_eval,-0.32706219890999677,shadow_kv,102.965703125,90.75269804780416,151.4961412020739,156.52980361046502,,0.0,1.2442106743603958,google/gemma-4-31B-it,102.6300390625,91.89607887042868,151.52649069591462,156.4133748986933,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_alpaca_eval_semantic_cuda.json,1.0002003317945918,0.999256188220478,0.0
alpaca_eval,14.281835278337814,shadow_kv_plus,87.9725859375,77.52928534026529,132.33295787449606,135.20002540244604,127,0.9921875,15.633739444334978,google/gemma-4-31B-it,102.6300390625,91.89607887042868,151.52649069591462,156.4133748986933,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_alpaca_eval_semantic_cuda.json,1.1450397023515608,1.1569034431251184,0.0
banking77,-0.7229105843006207,shadow_kv,103.5905390625,91.96900027133337,151.55768853026075,155.4925344113144,,0.0,0.08841963607424443,google/gemma-4-31B-it,102.847046875,92.05039089196497,151.33585292210228,155.22616054004175,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/banking77/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_banking77_semantic_cuda.json,0.9985362959127331,0.9982869025044763,0.0
banking77,14.233811404708849,shadow_kv_plus,88.2079921875,78.10978038679193,132.81129982738094,134.37838564059348,127,0.9921875,15.144542429520426,google/gemma-4-31B-it,102.847046875,92.05039089196497,151.33585292210228,155.22616054004175,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_banking77_semantic_cuda.json,1.139480248433667,1.1551423229268987,0.0
cnn_dailymail,-0.1784271429902609,shadow_kv,151.530859375,136.54923061885677,229.20339563268044,250.0593991979258,,0.0,-0.6854014456396997,google/gemma-4-31B-it,151.26096875,135.61969129415453,228.59559917162642,249.31555319926701,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_cnn_dailymail_semantic_cuda.json,0.9973482222661829,0.9970253227791288,0.0
cnn_dailymail,65.1094001240819,shadow_kv_plus,52.775859375,45.564870867589015,84.56378892265093,84.29731046053348,127,0.9921875,66.40246675627631,google/gemma-4-31B-it,151.26096875,135.61969129415453,228.59559917162642,249.31555319926701,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_cnn_dailymail_semantic_cuda.json,2.7032326966891107,2.9575742314577425,0.0
daily_dialog,-0.3003075913452102,shadow_kv,109.0875,97.5996837116495,161.01464148482592,186.8289350903069,,0.0,0.09957486292522509,google/gemma-4-31B-it,108.7608828125,97.69696533095991,160.66307243681877,186.65402474289294,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/daily_dialog/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_daily_dialog_semantic_cuda.json,0.9978165398825529,0.9990637941209191,0.0
daily_dialog,17.8278926541331,shadow_kv_plus,89.371109375,78.35973902887775,133.57601999132385,134.41863295229268,127,0.9921875,19.79306750887813,google/gemma-4-31B-it,108.7608828125,97.69696533095991,160.66307243681877,186.65402474289294,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma4_31b_26b_a4b_longprefix_n128_clean_20260711/google_gemma-4-31B-it/semantic/seed_42/daily_dialog/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_daily_dialog_semantic_cuda.json,1.20278379642734,1.3886023138558434,0.0
