backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,1277.282,9.978765625,0.017871582482160347,0.0,802.3442673992349,6.268314589056523,,,10.815006140624916,Qwen/Qwen2.5-1.5B-Instruct,128,10.765464000087377,11.499268700163157,12.291673070139952,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,92.46411763407632,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/no_cache/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,15.997170184579746,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,1341.399,10.4796796875,0.01876870015391073,0.0,848.2839243695266,6.627218159136927,,,10.658364703246548,Qwen/Qwen2.5-1.5B-Instruct,128,10.592430500310002,11.362980350077123,11.540548369821408,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,93.82302331007674,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,17.063101932140395,0.0
hf,1710.3354950058929,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,127,1333.129,10.4150703125,0.018652987267384916,0.9921875,809.8513811536926,6.3269639152632235,,,13.283438429709804,Qwen/Qwen2.5-1.5B-Instruct,128,13.08150500017291,13.965748650025487,15.454369100025362,1,127,128,0,semantic,55214,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,75.28171303624181,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,15.997257968000127,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,no_cache,,1349.039,10.5393671875,0.019743575108301135,0.0,823.3324043797785,6.4322844092170195,,,11.217196648452443,Qwen/Qwen2.5-1.5B-Instruct,128,11.278894999122713,12.01815994968456,12.875224030440224,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,89.1488338254249,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/alpaca_eval/no_cache/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,1.0,1.0,15.997173151530063,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,shadow_kv,,1353.971,10.5778984375,0.019815756351715254,0.0,823.1937246594883,6.431200973902253,,,11.122285249996366,Qwen/Qwen2.5-1.5B-Instruct,128,11.11941899989688,11.933820000422202,12.143568679139207,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,89.90958040752702,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,17.063507381026422,0.0
hf,1682.2208899920952,0,alpaca_eval,cuda,float16,0,0,nvml,shadow_kv_plus,127,1331.243,10.4003359375,0.019483125512235102,0.9921875,786.0682232564101,6.141157994190704,,,13.069573929733735,Qwen/Qwen2.5-1.5B-Instruct,128,12.78479700022217,14.02079710023827,14.568631580077637,1,127,128,0,semantic,52072,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,76.51358838293612,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,15.996773272866967,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,no_cache,,1319.193,10.3061953125,0.01947579537905071,0.0,791.9966113417572,6.187473526107478,,,11.160080812445017,Qwen/Qwen2.5-1.5B-Instruct,128,11.212433999844507,12.17533650005862,12.383693510337253,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,89.60508591343381,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/banking77/no_cache/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_semantic_cuda.json,1.0,1.0,15.997084045522408,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,shadow_kv,,1299.472,10.152125,0.019184646047095296,0.0,771.8121560188425,6.029782468897207,,,11.052463351525432,Qwen/Qwen2.5-1.5B-Instruct,128,11.105775999567413,11.806261399851792,11.995317059609079,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,90.47756759690884,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/banking77/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_semantic_cuda.json,,,17.06376858351107,0.0
hf,1688.8085770015095,0,banking77,cuda,float16,0,0,nvml,shadow_kv_plus,127,1322.486,10.331921875,0.019524411308776853,0.9921875,756.606621492185,5.910989230407695,,,13.118486312542643,Qwen/Qwen2.5-1.5B-Instruct,128,12.828098000227328,14.111380600525079,14.993113310592891,1,127,128,0,semantic,51479,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,76.22830684694891,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_semantic_cuda.json,,,15.997074650953383,0.0
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,no_cache,,1759.377,13.7451328125,0.01568365736902629,0.0,1183.2081860843614,9.243813953784073,,,15.305602468728807,Qwen/Qwen2.5-1.5B-Instruct,128,15.320516499741643,16.077313950245298,16.687581629821583,,,,,semantic,112179,0,0,0,,,,42,,,,,,,,,,,,65.33555291554975,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/cnn_dailymail/no_cache/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,1.0,1.0,15.056129373223058,0.0
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,shadow_kv,,1785.173,13.9466640625,0.015913611281968994,0.0,1215.7802333743568,9.498283073237163,,,15.15478236723311,Qwen/Qwen2.5-1.5B-Instruct,128,15.091539500190265,15.98249680000663,16.54204527038928,,,,,semantic,112179,0,0,0,,,,42,,,,,,,,,,,,65.98577107660407,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,,,15.056151441591505,0.0
hf,2375.979522002126,0,cnn_dailymail,cuda,float16,0,0,nvml,shadow_kv_plus,127,1809.549,14.1371015625,0.016130906854224053,0.9921875,1198.0919183819665,9.360093112359113,,,18.481940320221213,Qwen/Qwen2.5-1.5B-Instruct,128,18.262292000144953,19.33557495040077,19.546558640558942,1,127,128,0,semantic,95923,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,54.10687312445725,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,,,14.219821650890696,0.0
hf,0.0,0,daily_dialog,cuda,float16,,,nvml,no_cache,,1400.937,10.9448203125,0.0186346852179465,0.0,865.9187342945488,6.764990111676163,,,11.702952203137329,Qwen/Qwen2.5-1.5B-Instruct,128,11.478951000299276,13.726378650108018,14.129830280062379,,,,,semantic,75179,0,0,0,,,,42,,,,,,,,,,,,85.44852466644441,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/daily_dialog/no_cache/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,1.0,1.0,15.997466677170918,0.0
