dataset,energy_reduction_vs_no_cache_pct,engine,engine_gpu_joules_per_request,engine_idle_adjusted_joules_per_request,engine_mean_latency_ms,engine_p95_latency_ms,fast_exact_path_hits,hit_rate,idle_adjusted_energy_reduction_vs_no_cache_pct,model,no_cache_gpu_joules_per_request,no_cache_idle_adjusted_joules_per_request,no_cache_mean_latency_ms,no_cache_p95_latency_ms,policy_exact_total,policy_semantic_partial_total,prompt_mode,reuse_successes,reused_prefix_tokens_total,seed,semantic_blocked_by_backend_total,semantic_opportunity_plans_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,wasted_compute_ratio
ag_news,-5.0197998562572685,shadow_kv,10.4796796875,6.627218159136927,10.658364703246548,11.362980350077123,,0.0,-5.72567896810719,Qwen/Qwen2.5-1.5B-Instruct,9.978765625,6.268314589056523,10.815006140624916,11.499268700163157,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0146965732304747,1.0119940672153946,0.0
ag_news,-4.372331247132582,shadow_kv_plus,10.4150703125,6.3269639152632235,13.283438429709804,13.965748650025487,127,0.9921875,-0.935647459511574,Qwen/Qwen2.5-1.5B-Instruct,9.978765625,6.268314589056523,10.815006140624916,11.499268700163157,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,0.814172188763718,0.8233907818570235,0.0
alpaca_eval,-0.36559358180156515,shadow_kv,10.5778984375,6.431200973902253,11.122285249996366,11.933820000422202,,0.0,0.016843709727983377,Qwen/Qwen2.5-1.5B-Instruct,10.5393671875,6.4322844092170195,11.217196648452443,12.01815994968456,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,1.0085334440110774,1.0070673052936423,0.0
alpaca_eval,1.3191612696148924,shadow_kv_plus,10.4003359375,6.141157994190704,13.069573929733735,14.02079710023827,127,0.9921875,4.52601900825703,Qwen/Qwen2.5-1.5B-Instruct,10.5393671875,6.4322844092170195,11.217196648452443,12.01815994968456,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,0.8582679671701409,0.8571666691817631,0.0
banking77,1.4949290968038795,shadow_kv,10.152125,6.029782468897207,11.052463351525432,11.806261399851792,,0.0,2.548553243014423,Qwen/Qwen2.5-1.5B-Instruct,10.3061953125,6.187473526107478,11.160080812445017,12.17533650005862,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/banking77/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_semantic_cuda.json,1.0097369660949593,1.0312609629506815,0.0
banking77,-0.24962230697101334,shadow_kv_plus,10.331921875,5.910989230407695,13.118486312542643,14.111380600525079,127,0.9921875,4.468452180573907,Qwen/Qwen2.5-1.5B-Instruct,10.3061953125,6.187473526107478,11.160080812445017,12.17533650005862,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_semantic_cuda.json,0.8507140646078057,0.8628026445268991,0.0
cnn_dailymail,-1.4662008199493373,shadow_kv,13.9466640625,9.498283073237163,15.15478236723311,15.98249680000663,,0.0,-2.7528585140868103,Qwen/Qwen2.5-1.5B-Instruct,13.7451328125,9.243813953784073,15.305602468728807,16.077313950245298,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,1.0099519806910453,1.005932561815913,0.0
cnn_dailymail,-2.851691252073889,shadow_kv_plus,14.1371015625,9.360093112359113,18.481940320221213,19.33557495040077,127,0.9921875,-1.2579132288511652,Qwen/Qwen2.5-1.5B-Instruct,13.7451328125,9.243813953784073,15.305602468728807,16.077313950245298,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,0.8281382908688892,0.831488796763815,0.0
daily_dialog,0.08323000962926527,shadow_kv,10.9357109375,6.616707976032745,11.809050796834697,14.573016200029087,,0.0,2.191904691589823,Qwen/Qwen2.5-1.5B-Instruct,10.9448203125,6.764990111676163,11.702952203137329,13.726378650108018,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/daily_dialog/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,0.9910154850273143,0.9419037529156538,0.0
daily_dialog,2.9817186640084414,shadow_kv_plus,10.6184765625,6.142486799567707,13.791707507799345,15.224047450283251,127,0.9921875,9.201836245614524,Qwen/Qwen2.5-1.5B-Instruct,10.9448203125,6.764990111676163,11.702952203137329,13.726378650108018,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/daily_dialog/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,0.8485499128022542,0.9016247942561839,0.0
