backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,186.056,11.6285,0.021066123188405797,0.0,111.22057692028301,6.951286057517688,,,10.79314993734215,Qwen/Qwen2.5-1.5B-Instruct,16,10.686047000035614,11.434562749172983,11.718534949841342,,,,,semantic,8832,0,0,0,,,,42,,,,,,,,,,,,92.65135811188901,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/no_cache/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,10.663613858849978,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,200.862,12.553875,0.022742527173913042,0.0,125.21967695505168,7.82622980969073,,,10.785644750058054,Qwen/Qwen2.5-1.5B-Instruct,16,10.814928999934637,11.308772250231414,11.629016850383778,,,,,semantic,8832,0,0,0,,,,42,,,,,,,,,,,,92.71582952837544,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,10.663619793237862,0.0
hf,217.75458099909883,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,15,195.636,12.22725,0.022150815217391304,0.9375,118.83245987581377,7.4270287422383605,,,14.139456562588748,Qwen/Qwen2.5-1.5B-Instruct,16,12.615201500011608,19.953815999770086,35.77551599996695,1,15,16,0,semantic,6912,15,15,1920,1,0,0,42,0,31,0.0,0,0,0,0,0,0.0,16,0,70.72407596242958,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,10.662799660198923,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,287.166,17.947875,0.032514266304347825,0.0,203.09316671919032,12.693322919949395,,,19.416158375349823,Qwen/Qwen2.5-3B-Instruct,16,19.432545500876586,20.201269999915894,20.34365480080851,,,,,semantic,8832,0,0,0,,,,42,,,,,,,,,,,,51.50349418603683,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/no_cache/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,7.997303485202777,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,272.002,17.000125,0.030797327898550726,0.0,188.5050684169713,11.781566776060707,,,19.41694143749828,Qwen/Qwen2.5-3B-Instruct,16,19.432705000326678,19.938643999921624,20.088420799584128,,,,,semantic,8832,0,0,0,,,,42,,,,,,,,,,,,51.50141711138838,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,10.663388072931866,0.0
hf,322.43272899995645,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,15,279.066,17.441625,0.03159714673913043,0.9375,192.6949168521055,12.043432303256594,,,21.172002124899336,Qwen/Qwen2.5-3B-Instruct,16,19.493274499836843,27.281893250119538,44.05359305023921,1,15,16,0,semantic,6912,15,15,1920,1,0,0,42,0,31,0.0,0,0,0,0,0,0.0,16,0,47.23218872266926,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,10.66332310350961,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,151.053,9.4408125,0.015240944405206337,0.0,74.54209130557378,4.658880706598361,,,9.205046999738897,TinyLlama/TinyLlama-1.1B-Chat-v1.0,16,8.72934749986598,11.203236499795821,13.684684100053344,,,,,semantic,9911,0,0,0,,,,42,,,,,,,,,,,,108.63605585374688,results_smoke_seven_models_longprefix_smoke_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/no_cache/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,10.663350783999082,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,164.39,10.274375,0.016586620926243568,0.0,89.65096457501068,5.603185285938167,,,8.744930999853295,TinyLlama/TinyLlama-1.1B-Chat-v1.0,16,8.79072650013768,9.157825999864144,9.169763600220904,,,,,semantic,9911,0,0,0,,,,42,,,,,,,,,,,,114.35196001166572,results_smoke_seven_models_longprefix_smoke_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json,,,10.663311597845283,0.0
hf,186.37393699918903,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,15,188.342,11.771375,0.01900332963374029,0.9375,109.8134326078589,6.863339537991181,,,12.019661250235458,TinyLlama/TinyLlama-1.1B-Chat-v1.0,16,10.043893500551349,18.522298749758193,36.63390775045626,1,15,16,0,semantic,7991,15,15,1920,1,0,0,42,0,31,0.0,0,0,0,0,0,0.0,16,0,83.19702021389418,results_smoke_seven_models_longprefix_smoke_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json,,,10.663474214424362,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,751.614,46.975875,0.08397921787709497,0.0,615.6221191117111,38.47638244448194,,,69.9036105623918,google/gemma-4-12B-it,16,69.82836899987888,70.76672849984789,71.24232569935884,,,,,semantic,8950,0,0,0,,,,42,,,,,,,,,,,,14.305412724103277,results_smoke_seven_models_longprefix_smoke_20260713/google_gemma-4-12B-it/semantic/seed_42/ag_news/no_cache/benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,5.331969683865462,0.0
