group,n_rows,speedup_mean,speedup_ci95_low,speedup_ci95_high,p95_speedup_mean,mean_latency_ms,p95_latency_ms,waste_ratio_mean,hit_rate_mean
raw / frequency_speculative,300,1.1029277423449908,1.0739616747578828,1.1318938099320988,1.110327294310827,96.2740795217896,143.0888922013383,0.8306022968858581,0.4046354166666667
raw / greedy_prefix_cache,300,1.1368248802779284,1.107457694593087,1.1661920659627698,1.0266049469833343,94.91954223749543,154.01956329969215,0.0,0.0
raw / no_cache,300,1.0,1.0,1.0,1.0,98.4234407473547,149.51020475408868,0.0,0.0
raw / reactive_prefix_cache,300,1.1789744849641894,1.1519671373118843,1.2059818326164946,1.1292025461363067,90.25436844525514,138.95575620509695,0.0,0.10791666666666666
raw / shadow_kv,300,1.2178631707174241,1.1837484977379038,1.2519778436969444,1.2579780998018897,88.91704380495231,132.25434293411928,0.712484942429916,0.2679166666666667
raw / shadow_kv_plus,300,1.3059786513886402,1.2614810760465944,1.350476226730686,1.571415831232302,86.39444815823886,120.53116160643484,0.14,0.0
raw / shadow_kv_plus_best_latency,300,1.2316339616855272,1.187770869373821,1.2754970539972335,1.3720490418294926,90.52017442020077,136.66541307413797,0.36554235380871775,0.28703125
raw / shadow_kv_plus_raw_observer,300,1.315686299099,1.2703795110892127,1.3609930871087872,1.585393501874529,86.4150151168245,120.35241068786172,0.14,0.0
raw / strict_reactive_prefix_cache,300,1.2191190811180859,1.1826345867993049,1.2556035754368668,1.2644434727300615,89.57629262933439,132.47729094981784,0.0,0.03494791666666667
semantic / frequency_speculative,300,1.1692874871703616,1.147940668302434,1.1906343060382891,1.125269145272369,98.0189823427523,144.82312265733472,0.012910585768738398,0.5852604166666666
semantic / greedy_prefix_cache,300,1.155536222283722,1.1304006557937485,1.1806717887736955,1.1072538897977977,102.9044411409594,152.33199343408103,0.0,0.0
semantic / no_cache,300,1.0,1.0,1.0,1.0,109.23428052311824,163.35398559536563,0.0,0.0
semantic / reactive_prefix_cache,300,1.1504028455433501,1.1262415767798164,1.174564114306884,1.0887008417779933,103.07308318913464,153.74753041737702,0.0,0.0027083333333333334
semantic / shadow_kv,300,1.1979545028674814,1.1775183696023896,1.2183906361325731,1.1484694691214763,96.1880597573307,144.81071320375938,0.03666666666666667,0.6591666666666667
semantic / shadow_kv_plus,300,1.3015677251570459,1.2666908292965449,1.336444621017547,1.4267333702022102,92.98470745647504,132.9785425821968,0.15920260225432256,0.5234375
semantic / shadow_kv_plus_best_latency,300,1.2720532309243353,1.2389038195650712,1.3052026422835994,1.3612710955286,94.77077984225126,138.5552440225136,0.16668180600238358,0.5209895833333333
semantic / shadow_kv_plus_early_layer,150,1.0795186465375308,1.0528022164652793,1.1062350766097824,0.9248106124705483,144.618955052174,206.9261669421685,0.0,0.0
semantic / shadow_kv_plus_logit_guard,150,1.085525730940394,1.056221806356281,1.1148296555245072,0.9221079896613428,144.70763829802308,207.5851136551161,0.0,0.0
semantic / shadow_kv_plus_raw_observer,300,1.258853367840558,1.22802631180655,1.289680423874566,1.33092387519415,94.92408035996286,139.1547581886656,0.15527357307833503,0.5258854166666667
semantic / shadow_kv_plus_scaffold_only,150,1.0807272935339218,1.054931644013492,1.1065229430543517,0.9246307847171846,144.57658122651387,206.95535716272812,0.0,0.0
semantic / strict_reactive_prefix_cache,300,1.1671925384741242,1.1406080179443887,1.1937770590038597,1.132923321112219,102.65078238914317,150.88161590115567,0.0,0.0
templated / frequency_speculative,298,1.3515326602689721,1.322804195679121,1.3802611248588232,1.3929833208499387,99.42251370479995,144.424278249021,0.006711409395973154,0.8622063758389261
templated / greedy_prefix_cache,298,1.3713314537664243,1.3424821340700095,1.400180773462839,1.4203456805020198,97.38999821764968,137.74324702163966,0.0,0.964765100671141
templated / no_cache,298,1.0,1.0,1.0,1.0,131.23182026906824,185.49981128009767,0.0,0.0
templated / reactive_prefix_cache,298,1.313014310657929,1.2874301037760354,1.3385985175398227,1.1851572429895347,99.89925923934102,153.33709523138177,0.0,0.8444840604026845
templated / shadow_kv,298,1.4455977609176927,1.4118459709643723,1.479349550871013,1.5485321714291975,95.018549235339,138.68582010408008,0.040268456375838924,0.8923552852348994
templated / shadow_kv_plus,298,1.488930791892643,1.4524514710282093,1.525410112757077,1.6261369908828334,93.06585731632137,132.5251934026914,0.16778523489932887,0.6858745805369127
templated / shadow_kv_plus_best_latency,298,1.489176334512502,1.4516457127220812,1.5267069563029227,1.632162311880604,93.08232978479973,132.57609953139246,0.15100671140939598,0.6919043624161074
templated / shadow_kv_plus_raw_observer,298,1.494551854514256,1.4585466929910902,1.5305570160374218,1.6256791853564831,92.9769998756853,132.6509999884149,0.17785234899328858,0.6891254194630873
templated / strict_reactive_prefix_cache,298,1.3773202710413794,1.3485906674727433,1.4060498746100156,1.437299669813039,97.38941529809992,137.48725739288412,0.0,0.8986472315436241
