gpu,model,model_params_B,dataset,mode,seed,engine,requests_seen,mean_latency_ms,wasted_compute_ms,gpu_tdp_w,estimated_gpu_energy_j,estimated_waste_energy_j,estimated_joules_per_request,calibration_source
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ag_news,raw,123,no_cache,64,137.8595,0.0,70,461.02,0.0,7.2035,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,alpaca_eval,raw,123,no_cache,64,91.1065,0.0,70,320.42,0.0,5.0066,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,banking77,raw,123,no_cache,64,92.8995,0.0,70,316.65,0.0,4.9476,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,cnn_dailymail,raw,123,no_cache,64,583.9973,0.0,70,2057.46,0.0,32.1479,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,daily_dialog,raw,123,no_cache,64,157.052,0.0,70,549.7,0.0,8.5891,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,dolly,raw,123,no_cache,64,168.6666,0.0,70,594.48,0.0,9.2888,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,oasst1,raw,123,no_cache,64,228.2599,0.0,70,762.2,0.0,11.9093,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,samsum,raw,123,no_cache,64,257.22,0.0,70,869.48,0.0,13.5856,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ultrachat,raw,123,no_cache,64,468.4042,0.0,70,1632.52,0.0,25.5082,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,xsum,raw,123,no_cache,64,494.6353,0.0,70,1670.65,0.0,26.1039,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ag_news,raw,42,no_cache,64,124.3453,0.0,70,461.53,0.0,7.2115,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,alpaca_eval,raw,42,no_cache,64,88.3559,0.0,70,328.09,0.0,5.1264,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,banking77,raw,42,no_cache,64,91.5678,0.0,70,335.26,0.0,5.2384,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,cnn_dailymail,raw,42,no_cache,64,586.2288,0.0,70,1997.61,0.0,31.2127,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,daily_dialog,raw,42,no_cache,64,148.8945,0.0,70,554.18,0.0,8.659,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,dolly,raw,42,no_cache,64,158.7616,0.0,70,539.33,0.0,8.4271,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,oasst1,raw,42,no_cache,64,186.7777,0.0,70,686.13,0.0,10.7208,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,samsum,raw,42,no_cache,64,264.0638,0.0,70,950.16,0.0,14.8462,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ultrachat,raw,42,no_cache,64,458.3298,0.0,70,1585.69,0.0,24.7764,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,xsum,raw,42,no_cache,64,484.3612,0.0,70,1591.48,0.0,24.8669,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ag_news,raw,456,no_cache,64,130.2942,0.0,70,479.28,0.0,7.4888,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,alpaca_eval,raw,456,no_cache,64,88.9805,0.0,70,302.58,0.0,4.7278,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,banking77,raw,456,no_cache,64,91.1391,0.0,70,312.96,0.0,4.89,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,cnn_dailymail,raw,456,no_cache,64,575.3619,0.0,70,1868.22,0.0,29.1909,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,daily_dialog,raw,456,no_cache,64,168.9859,0.0,70,568.15,0.0,8.8773,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,dolly,raw,456,no_cache,64,146.0945,0.0,70,527.54,0.0,8.2428,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,oasst1,raw,456,no_cache,64,197.2522,0.0,70,644.68,0.0,10.0731,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,samsum,raw,456,no_cache,64,239.6921,0.0,70,796.4,0.0,12.4437,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ultrachat,raw,456,no_cache,64,474.3355,0.0,70,1646.73,0.0,25.7302,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,xsum,raw,456,no_cache,64,452.153,0.0,70,1588.25,0.0,24.8164,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ag_news,raw,789,no_cache,64,131.7558,0.0,70,459.29,0.0,7.1763,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,alpaca_eval,raw,789,no_cache,64,89.4896,0.0,70,290.85,0.0,4.5445,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,banking77,raw,789,no_cache,64,92.484,0.0,70,307.08,0.0,4.7981,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,cnn_dailymail,raw,789,no_cache,64,578.7015,0.0,70,2089.89,0.0,32.6545,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,daily_dialog,raw,789,no_cache,64,158.1874,0.0,70,566.47,0.0,8.8511,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,dolly,raw,789,no_cache,64,187.1232,0.0,70,625.45,0.0,9.7727,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,oasst1,raw,789,no_cache,64,190.9682,0.0,70,694.92,0.0,10.8582,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,samsum,raw,789,no_cache,64,251.2358,0.0,70,915.14,0.0,14.2991,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ultrachat,raw,789,no_cache,64,488.986,0.0,70,1799.32,0.0,28.1144,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,xsum,raw,789,no_cache,64,488.4888,0.0,70,1631.44,0.0,25.4912,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,ag_news,raw,999,no_cache,64,130.413,0.0,70,425.12,0.0,6.6425,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,alpaca_eval,raw,999,no_cache,64,91.077,0.0,70,320.24,0.0,5.0038,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,banking77,raw,999,no_cache,64,92.7981,0.0,70,329.53,0.0,5.1489,estimated
t4,microsoft/Phi-3-mini-4k-instruct,3.8,cnn_dailymail,raw,999,no_cache,64,582.9412,0.0,70,2077.71,0.0,32.4642,estimated
