engine,model,mode,seed,dataset,latency_ms,speedup,hit_rate,waste
no_cache,Gemma-2B,raw,42,ag_news,83.61,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,alpaca_eval,65.11,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,banking77,66.61,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,cnn_dailymail,342.17,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,daily_dialog,102.34,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,dolly,101.76,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,oasst1,110.82,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,samsum,163.45,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,ultrachat,284.51,1.0,0.0,0.0
no_cache,Gemma-2B,raw,42,xsum,285.97,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,ag_news,91.38,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,alpaca_eval,66.4,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,banking77,66.99,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,cnn_dailymail,342.58,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,daily_dialog,105.22,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,dolly,110.1,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,oasst1,130.84,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,samsum,160.03,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,ultrachat,286.17,1.0,0.0,0.0
no_cache,Gemma-2B,raw,123,xsum,290.58,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,ag_news,86.16,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,alpaca_eval,66.48,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,banking77,65.75,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,cnn_dailymail,335.36,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,daily_dialog,116.57,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,dolly,96.95,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,oasst1,117.02,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,samsum,145.37,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,ultrachat,289.05,1.0,0.0,0.0
no_cache,Gemma-2B,raw,456,xsum,276.6,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,ag_news,154.21,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,alpaca_eval,122.07,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,banking77,117.06,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,cnn_dailymail,412.19,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,daily_dialog,179.58,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,dolly,162.73,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,oasst1,181.72,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,samsum,245.76,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,ultrachat,358.11,1.0,0.0,0.0
no_cache,Gemma-2B,templated,42,xsum,363.61,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,ag_news,162.99,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,alpaca_eval,123.78,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,banking77,119.72,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,cnn_dailymail,410.91,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,daily_dialog,183.38,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,dolly,166.89,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,oasst1,199.74,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,samsum,245.71,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,ultrachat,364.73,1.0,0.0,0.0
no_cache,Gemma-2B,templated,123,xsum,368.05,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,ag_news,155.74,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,alpaca_eval,120.44,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,banking77,116.44,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,cnn_dailymail,410.67,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,daily_dialog,192.49,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,dolly,156.17,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,oasst1,185.08,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,samsum,228.2,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,ultrachat,363.04,1.0,0.0,0.0
no_cache,Gemma-2B,templated,456,xsum,345.92,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,ag_news,103.02,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,alpaca_eval,77.5,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,banking77,83.09,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,cnn_dailymail,387.77,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,daily_dialog,127.83,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,dolly,123.37,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,oasst1,136.3,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,samsum,191.7,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,ultrachat,296.83,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,42,xsum,320.07,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,ag_news,112.93,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,alpaca_eval,79.05,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,banking77,82.47,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,cnn_dailymail,379.15,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,daily_dialog,130.02,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,dolly,129.09,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,oasst1,154.61,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,samsum,184.26,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,ultrachat,302.07,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,xsum,330.91,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,ag_news,104.78,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,alpaca_eval,80.32,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,banking77,80.78,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,cnn_dailymail,376.9,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,daily_dialog,141.78,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,dolly,115.22,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,oasst1,138.74,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,samsum,176.44,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,ultrachat,303.98,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,xsum,301.6,1.0,0.0,0.0
no_cache,GPT-2,raw,42,ag_news,16.16,1.0,0.0,0.0
no_cache,GPT-2,raw,42,alpaca_eval,19.12,1.0,0.0,0.0
no_cache,GPT-2,raw,42,banking77,14.66,1.0,0.0,0.0
no_cache,GPT-2,raw,42,cnn_dailymail,20.53,1.0,0.0,0.0
no_cache,GPT-2,raw,42,daily_dialog,14.73,1.0,0.0,0.0
no_cache,GPT-2,raw,42,dolly,18.88,1.0,0.0,0.0
no_cache,GPT-2,raw,42,oasst1,18.96,1.0,0.0,0.0
no_cache,GPT-2,raw,42,samsum,15.07,1.0,0.0,0.0
no_cache,GPT-2,raw,42,ultrachat,19.69,1.0,0.0,0.0
no_cache,GPT-2,raw,42,xsum,20.18,1.0,0.0,0.0
no_cache,GPT-2,raw,123,ag_news,16.54,1.0,0.0,0.0
no_cache,GPT-2,raw,123,alpaca_eval,16.95,1.0,0.0,0.0
no_cache,GPT-2,raw,123,banking77,16.69,1.0,0.0,0.0
no_cache,GPT-2,raw,123,cnn_dailymail,19.75,1.0,0.0,0.0
no_cache,GPT-2,raw,123,daily_dialog,15.42,1.0,0.0,0.0
no_cache,GPT-2,raw,123,dolly,18.47,1.0,0.0,0.0
no_cache,GPT-2,raw,123,oasst1,19.13,1.0,0.0,0.0
no_cache,GPT-2,raw,123,samsum,18.81,1.0,0.0,0.0
no_cache,GPT-2,raw,123,ultrachat,18.35,1.0,0.0,0.0
no_cache,GPT-2,raw,123,xsum,19.41,1.0,0.0,0.0
no_cache,GPT-2,raw,456,ag_news,16.12,1.0,0.0,0.0
no_cache,GPT-2,raw,456,alpaca_eval,18.14,1.0,0.0,0.0
no_cache,GPT-2,raw,456,banking77,15.07,1.0,0.0,0.0
no_cache,GPT-2,raw,456,cnn_dailymail,21.01,1.0,0.0,0.0
no_cache,GPT-2,raw,456,daily_dialog,14.59,1.0,0.0,0.0
no_cache,GPT-2,raw,456,dolly,19.44,1.0,0.0,0.0
no_cache,GPT-2,raw,456,oasst1,18.89,1.0,0.0,0.0
no_cache,GPT-2,raw,456,samsum,20.65,1.0,0.0,0.0
no_cache,GPT-2,raw,456,ultrachat,20.39,1.0,0.0,0.0
no_cache,GPT-2,raw,456,xsum,21.03,1.0,0.0,0.0
no_cache,GPT-2,templated,42,ag_news,19.23,1.0,0.0,0.0
no_cache,GPT-2,templated,42,alpaca_eval,14.95,1.0,0.0,0.0
no_cache,GPT-2,templated,42,banking77,18.0,1.0,0.0,0.0
no_cache,GPT-2,templated,42,cnn_dailymail,24.13,1.0,0.0,0.0
no_cache,GPT-2,templated,42,daily_dialog,20.22,1.0,0.0,0.0
no_cache,GPT-2,templated,42,dolly,18.38,1.0,0.0,0.0
no_cache,GPT-2,templated,42,oasst1,20.04,1.0,0.0,0.0
no_cache,GPT-2,templated,42,samsum,20.87,1.0,0.0,0.0
no_cache,GPT-2,templated,42,ultrachat,21.47,1.0,0.0,0.0
no_cache,GPT-2,templated,42,xsum,21.66,1.0,0.0,0.0
