source,engine,workload,dataset,prompt_mode,n_requests,mean_latency_ms,speedup_vs_no_cache,cache_hit_rate,wasted_compute_ratio,reuse_density,reused_prefix_tokens_total,recompute_tokens_total,policy_net_utility_ms,semantic_partial_hits,layer_reuse_events
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,no_cache,synthetic,daily_dialog,raw,40,34.937500,1.000000,0.000000,0.000000,0.000000,0.0,555.0,0.000000,0.0,0.0
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,40,22.962500,1.521502,0.000000,0.000000,0.385586,214.0,341.0,0.000000,0.0,0.0
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,40,22.962500,1.521502,0.000000,0.000000,0.385586,214.0,341.0,0.000000,0.0,0.0
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,40,34.937500,1.000000,0.000000,0.000000,0.000000,0.0,555.0,0.000000,0.0,0.0
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,40,24.075000,1.451194,0.000000,0.000000,0.335135,186.0,369.0,0.000000,0.0,0.0
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,shadow_kv,synthetic,daily_dialog,raw,40,25.575000,1.366080,0.000000,0.000000,0.291892,162.0,393.0,0.000000,0.0,0.0
results/integration_validation/benchmark_fake_default_synthetic_high_skew_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,40,25.575000,1.366080,0.000000,0.000000,0.291892,162.0,393.0,543.418295,0.0,38.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,no_cache,synthetic,daily_dialog,raw,30,33.250000,1.000000,0.000000,0.000000,0.000000,0.0,396.0,0.000000,0.0,0.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,30,25.725000,1.292517,0.000000,0.000000,0.328283,130.0,266.0,0.000000,0.0,0.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,30,25.725000,1.292517,0.000000,0.000000,0.328283,130.0,266.0,0.000000,0.0,0.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,30,33.250000,1.000000,0.000000,0.000000,0.000000,0.0,396.0,0.000000,0.0,0.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,30,27.700000,1.200361,0.000000,0.000000,0.227273,90.0,306.0,0.000000,0.0,0.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,shadow_kv,synthetic,daily_dialog,raw,30,29.441667,1.129352,0.000000,0.000000,0.166667,66.0,330.0,0.000000,0.0,0.0
results/integration_validation_bursty_high/benchmark_fake_default_synthetic_bursty_high_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,30,28.766667,1.155852,0.000000,0.000000,0.166667,66.0,330.0,333.257717,0.0,25.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,no_cache,synthetic,daily_dialog,raw,30,34.250000,1.000000,0.000000,0.000000,0.000000,0.0,408.0,0.000000,0.0,0.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,30,33.008333,1.037617,0.000000,0.000000,0.247549,101.0,307.0,0.000000,0.0,0.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,30,33.008333,1.037617,0.000000,0.000000,0.247549,101.0,307.0,0.000000,0.0,0.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,30,34.250000,1.000000,0.000000,0.000000,0.000000,0.0,408.0,0.000000,0.0,0.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,30,36.275000,0.944176,0.000000,0.000000,0.000000,0.0,408.0,0.000000,0.0,0.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,shadow_kv,synthetic,daily_dialog,raw,30,40.150000,0.853051,0.000000,0.000000,0.000000,0.0,408.0,0.000000,0.0,0.0
results/integration_validation_bursty_mild/benchmark_fake_default_synthetic_bursty_mild_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,30,33.616667,1.018840,0.000000,0.000000,0.083333,34.0,374.0,252.300284,0.0,21.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,no_cache,synthetic,daily_dialog,raw,40,191.625000,1.000000,0.000000,0.000000,0.000000,0.0,3062.0,0.000000,0.0,0.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,40,71.518750,2.679367,0.000000,0.000000,0.681254,2086.0,976.0,0.000000,0.0,0.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,40,71.518750,2.679367,0.000000,0.000000,0.681254,2086.0,976.0,0.000000,0.0,0.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,40,71.518750,2.679367,0.000000,0.000000,0.681254,2086.0,976.0,0.000000,0.0,0.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,40,83.762500,2.287718,0.000000,0.000000,0.595689,1824.0,1238.0,0.000000,0.0,0.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,shadow_kv,synthetic,daily_dialog,raw,40,88.318750,2.169698,0.000000,0.000000,0.558459,1710.0,1352.0,0.000000,0.0,0.0
results/integration_validation_long_shared_prefix/benchmark_fake_default_synthetic_long_shared_prefix_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,40,75.081250,2.552235,0.000000,0.000000,0.662639,2029.0,1033.0,5215.026357,0.0,39.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,no_cache,synthetic,daily_dialog,raw,30,34.583333,1.000000,0.000000,0.000000,0.000000,0.0,412.0,0.000000,0.0,0.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,30,32.841667,1.053032,0.000000,0.000000,0.264563,109.0,303.0,0.000000,0.0,0.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,30,32.841667,1.053032,0.000000,0.000000,0.264563,109.0,303.0,0.000000,0.0,0.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,30,34.583333,1.000000,0.000000,0.000000,0.000000,0.0,412.0,0.000000,0.0,0.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,30,36.775000,0.940403,0.000000,0.000000,0.000000,0.0,412.0,0.000000,0.0,0.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,shadow_kv,synthetic,daily_dialog,raw,30,40.141667,0.861532,0.000000,0.000000,0.000000,0.0,412.0,0.000000,0.0,0.0
results/integration_validation_low_skew/benchmark_fake_default_synthetic_low_skew_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,30,36.775000,0.940403,0.000000,0.000000,0.000000,0.0,412.0,272.985747,0.0,22.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,no_cache,synthetic,daily_dialog,raw,30,32.083333,1.000000,0.000000,0.000000,0.000000,0.0,382.0,0.000000,0.0,0.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,30,34.283333,0.935829,0.000000,0.000000,0.000000,0.0,382.0,0.000000,0.0,0.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,30,34.283333,0.935829,0.000000,0.000000,0.000000,0.0,382.0,0.000000,0.0,0.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,30,32.083333,1.000000,0.000000,0.000000,0.000000,0.0,382.0,0.000000,0.0,0.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,30,34.358333,0.933786,0.000000,0.000000,0.000000,0.0,382.0,0.000000,0.0,0.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,shadow_kv,synthetic,daily_dialog,raw,30,38.066667,0.842820,0.000000,0.000000,0.000000,0.0,382.0,0.000000,0.0,0.0
results/integration_validation_mild_skew/benchmark_fake_default_synthetic_mild_skew_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,30,31.858333,1.007063,0.000000,0.000000,0.047120,18.0,364.0,245.204103,0.0,22.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,no_cache,synthetic,daily_dialog,raw,30,33.083333,1.000000,0.000000,0.000000,0.000000,0.0,394.0,0.000000,0.0,0.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,30,26.466667,1.250000,0.000000,0.000000,0.296954,117.0,277.0,0.000000,0.0,0.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,30,26.466667,1.250000,0.000000,0.000000,0.296954,117.0,277.0,0.000000,0.0,0.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,30,33.083333,1.000000,0.000000,0.000000,0.000000,0.0,394.0,0.000000,0.0,0.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,30,34.525000,0.958243,0.000000,0.000000,0.000000,0.0,394.0,0.000000,0.0,0.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,shadow_kv,synthetic,daily_dialog,raw,30,36.216667,0.913484,0.000000,0.000000,0.000000,0.0,394.0,0.000000,0.0,0.0
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,30,34.191667,0.967585,0.000000,0.000000,0.000000,0.0,394.0,290.832764,0.0,25.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,no_cache,synthetic,daily_dialog,raw,40,205.750000,1.000000,0.000000,0.000000,0.000000,0.0,3288.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,40,86.643750,2.374666,0.000000,0.000000,0.629562,2070.0,1218.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,40,86.643750,2.374666,0.000000,0.000000,0.629562,2070.0,1218.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,40,86.643750,2.374666,0.000000,0.000000,0.629562,2070.0,1218.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,40,98.887500,2.080647,0.000000,0.000000,0.549878,1808.0,1480.0,0.000000,0.0,0.0
