model_slug,model_params_B,dataset,mode,engine,seed,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,latency_reduction_vs_no_cache_pct
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,42,11.313358,10.973957,11.652759,88.38532,0,1169.784,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,42,9.337597,9.057469,9.617725,107.086941,0,928.359,17.464
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,42,9.319913,9.040316,9.59951,107.290132,0,927.128,17.6203
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,123,11.185017,10.849466,11.520568,89.399479,0,1160.019,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,123,9.225762,8.948989,9.502535,106.060886,0,920.02,17.5168
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,123,9.208278,8.93203,9.484526,108.590845,0,918.8,17.6731
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,456,11.1841,10.848577,11.519623,89.406815,0,1159.905,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,456,9.226346,8.949556,9.503136,106.066244,0,920.064,17.5048
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,456,9.208864,8.932598,9.48513,108.583941,0,918.843,17.6611
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,789,11.111367,10.778026,11.444708,89.992054,0,1152.344,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,789,9.22693,8.950122,9.503738,106.071603,0,920.107,16.9595
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,789,9.209352,8.933071,9.485633,108.578188,0,918.88,17.1177
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,999,11.181648,10.846199,11.517097,89.426415,0,1159.621,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,999,9.227298,8.950479,9.504117,106.074982,0,920.135,17.4782
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,999,9.20982,8.933525,9.486115,108.572666,0,918.915,17.6345
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,42,11.479251,11.134873,11.823629,87.107736,0,1155.291,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,42,9.432253,9.149285,9.715221,106.011959,0,912.767,17.8322
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,42,9.414309,9.13188,9.696738,106.214019,0,911.551,17.9885
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,123,11.349027,11.008556,11.689498,88.107254,0,1145.647,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,123,9.319284,9.039705,9.598863,104.996203,0,904.568,17.8847
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,123,9.301543,9.022497,9.580589,107.501686,0,903.363,18.0411
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,456,11.275257,10.936999,11.613515,88.683708,0,1138.182,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,456,9.319874,9.040278,9.59947,105.001508,0,904.611,17.3422
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,456,9.302036,9.022975,9.581097,107.495995,0,903.399,17.5005
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,789,11.274321,10.936091,11.612551,88.691066,0,1138.069,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,789,9.320464,9.04085,9.600078,105.006813,0,904.654,17.3302
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,789,9.302627,9.023548,9.581706,107.489161,0,903.442,17.4884
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,999,11.345611,11.005243,11.685979,88.133779,0,1145.254,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,999,9.320836,9.041211,9.600461,105.010158,0,904.681,17.8463
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,999,9.303101,9.024008,9.582194,107.48369,0,903.476,18.0026
gemma4_e2b,2.3,daily_dialog,rag,lmcache_no_cache,42,12.209197,11.842921,12.575473,81.90069,0,1306.481,0.0
gemma4_e2b,2.3,daily_dialog,rag,lmcache,42,10.093125,9.790331,10.395919,99.07157,256,1038.504,17.3318
gemma4_e2b,2.3,daily_dialog,rag,lmcache_meritkv,42,10.073864,9.771648,10.37608,99.260989,256,1037.117,17.4895
gemma4_e2b,2.3,daily_dialog,rag,lmcache_no_cache,123,12.070734,11.708612,12.432856,82.840177,0,1295.579,0.0
gemma4_e2b,2.3,daily_dialog,rag,lmcache,123,9.97224,9.673073,10.271407,98.122314,256,1029.176,17.385
gemma4_e2b,2.3,daily_dialog,rag,lmcache_meritkv,123,9.953198,9.654602,10.251794,100.464362,256,1027.8,17.5427
gemma4_e2b,2.3,daily_dialog,rag,lmcache_no_cache,456,12.069734,11.707642,12.431826,82.847035,0,1295.451,0.0
gemma4_e2b,2.3,daily_dialog,rag,lmcache,456,9.972872,9.673686,10.272058,98.127271,256,1029.224,17.3729
gemma4_e2b,2.3,daily_dialog,rag,lmcache_meritkv,456,9.953831,9.655216,10.252446,100.457974,256,1027.849,17.5307
gemma4_e2b,2.3,daily_dialog,rag,lmcache_no_cache,789,12.135843,11.771768,12.499918,82.395734,0,1302.525,0.0
gemma4_e2b,2.3,daily_dialog,rag,lmcache,789,9.973503,9.674298,10.272708,98.132228,256,1029.273,17.8178
gemma4_e2b,2.3,daily_dialog,rag,lmcache_meritkv,789,9.954586,9.655948,10.253224,100.450351,256,1027.907,17.9737
gemma4_e2b,2.3,daily_dialog,rag,lmcache_no_cache,999,12.067069,11.705057,12.429081,82.865331,0,1295.131,0.0
gemma4_e2b,2.3,daily_dialog,rag,lmcache,999,9.973901,9.674684,10.273118,98.135355,256,1029.304,17.3461
gemma4_e2b,2.3,daily_dialog,rag,lmcache_meritkv,999,9.954865,9.656219,10.253511,100.447544,256,1027.929,17.5039
gemma4_e2b,2.3,daily_dialog,templated,lmcache_no_cache,42,12.274077,11.905855,12.642299,81.466829,0,1286.953,0.0
gemma4_e2b,2.3,daily_dialog,templated,lmcache,42,10.079826,9.777431,10.382221,99.201127,256,1016.234,17.8771
gemma4_e2b,2.3,daily_dialog,templated,lmcache_meritkv,42,10.060457,9.758643,10.362271,99.392117,256,1014.867,18.0349
gemma4_e2b,2.3,daily_dialog,templated,lmcache_no_cache,123,12.067586,11.705558,12.429614,82.860827,0,1269.137,0.0
gemma4_e2b,2.3,daily_dialog,templated,lmcache,123,9.959101,9.660328,10.257874,98.250629,256,1007.106,17.4723
gemma4_e2b,2.3,daily_dialog,templated,lmcache_meritkv,123,9.940058,9.641856,10.23826,100.59601,256,1005.758,17.6301
gemma4_e2b,2.3,daily_dialog,templated,lmcache_no_cache,456,12.133856,11.76984,12.497872,82.408273,0,1276.087,0.0
gemma4_e2b,2.3,daily_dialog,templated,lmcache,456,9.959732,9.66094,10.258524,98.255593,256,1007.153,17.9178
gemma4_e2b,2.3,daily_dialog,templated,lmcache_meritkv,456,9.940584,9.642366,10.238802,100.590685,256,1005.798,18.0756
gemma4_e2b,2.3,daily_dialog,templated,lmcache_no_cache,789,12.132857,11.768871,12.496843,82.415057,0,1275.961,0.0
gemma4_e2b,2.3,daily_dialog,templated,lmcache,789,9.960362,9.661551,10.259173,98.260557,256,1007.201,17.9059
gemma4_e2b,2.3,daily_dialog,templated,lmcache_meritkv,789,9.941216,9.64298,10.239452,100.584289,256,1005.846,18.0637
gemma4_e2b,2.3,daily_dialog,templated,lmcache_no_cache,999,12.131188,11.767252,12.495124,82.426399,0,1275.773,0.0
gemma4_e2b,2.3,daily_dialog,templated,lmcache,999,9.96076,9.661937,10.259583,98.263687,256,1007.231,17.8913
gemma4_e2b,2.3,daily_dialog,templated,lmcache_meritkv,999,9.941616,9.643368,10.239864,100.58024,256,1005.876,18.0491
gemma4_e2b,2.3,dolly,rag,lmcache_no_cache,42,11.596427,11.248534,11.94432,86.228116,0,1238.674,0.0
gemma4_e2b,2.3,dolly,rag,lmcache,42,9.629379,9.340498,9.91826,103.842425,768,989.003,16.9625
gemma4_e2b,2.3,dolly,rag,lmcache_meritkv,42,9.611031,9.3227,9.899362,104.040662,768,987.684,17.1208
gemma4_e2b,2.3,dolly,rag,lmcache_no_cache,123,11.464934,11.120986,11.808882,87.21708,0,1228.34,0.0
gemma4_e2b,2.3,dolly,rag,lmcache,123,9.514049,9.228628,9.79947,102.847457,768,980.119,17.0161
gemma4_e2b,2.3,dolly,rag,lmcache_meritkv,123,9.495909,9.211032,9.780786,105.30198,768,978.811,17.1743
gemma4_e2b,2.3,dolly,rag,lmcache_no_cache,456,11.46398,11.120061,11.807899,87.224337,0,1228.218,0.0
gemma4_e2b,2.3,dolly,rag,lmcache,456,9.514651,9.229211,9.800091,102.852653,768,980.166,17.0039
gemma4_e2b,2.3,dolly,rag,lmcache_meritkv,456,9.496513,9.211618,9.781408,105.295285,768,978.858,17.1622
gemma4_e2b,2.3,dolly,rag,lmcache_no_cache,789,11.526951,11.181142,11.87276,86.747835,0,1234.945,0.0
gemma4_e2b,2.3,dolly,rag,lmcache,789,9.515253,9.229795,9.800711,102.857849,768,980.212,17.4521
gemma4_e2b,2.3,dolly,rag,lmcache_meritkv,789,9.497016,9.212106,9.781926,105.289709,768,978.897,17.6103
gemma4_e2b,2.3,dolly,rag,lmcache_no_cache,999,11.461438,11.117595,11.805281,87.243682,0,1227.914,0.0
gemma4_e2b,2.3,dolly,rag,lmcache,999,9.515633,9.230164,9.801102,102.861126,768,980.241,16.977
gemma4_e2b,2.3,dolly,rag,lmcache_meritkv,999,9.497499,9.212574,9.782424,105.284352,768,978.934,17.1352
gemma4_e2b,2.3,dolly,templated,lmcache_no_cache,42,11.464964,11.121015,11.808913,87.216774,0,1134.583,0.0
gemma4_e2b,2.3,dolly,templated,lmcache,42,9.435495,9.15243,9.71856,105.976119,768,897.832,17.7015
gemma4_e2b,2.3,dolly,templated,lmcache_meritkv,42,9.417343,9.134823,9.699863,106.180392,768,896.623,17.8598
