model,dataset,mode,requests,prompt_tokens,cache_evidence_tokens,mean_latency_ms,p95_latency_ms,throughput_rps,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,energy_source,reuse_failures,idle_stable,source_file
google/gemma-4-12B-it,ag_news,rag,256,43476,17472.0,21.522365360851836,24.05897551216185,46.461522598623894,2923.11,2459.0717877252455,11.4183984375,nvml,0,True,results_full/gemma4_12b/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,templated,256,40916,17408.0,21.352328519014918,24.131320489686914,46.83150331733409,2897.99,2454.778351081378,11.3202734375,nvml,0,True,results_full/gemma4_12b/ag_news/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,daily_dialog,rag,256,53705,33472.0,21.563678066513603,24.778348233667202,46.37254255623281,2747.175,2271.477636884145,10.73115234375,nvml,0,True,results_full/gemma4_12b/daily_dialog/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_daily_dialog_rag.json
google/gemma-4-12B-it,daily_dialog,templated,256,50377,33216.0,21.367103743386906,25.08194648544304,46.799102507072256,2614.06,2173.851718918303,10.211171875,nvml,0,True,results_full/gemma4_12b/daily_dialog/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_daily_dialog_templated.json
google/gemma-4-12B-it,dolly,rag,256,49032,20224.0,22.8952278584984,31.14346123766154,43.67541088785657,3135.365,2635.4157617069313,12.24751953125,nvml,0,True,results_full/gemma4_12b/dolly/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_dolly_rag.json
google/gemma-4-12B-it,dolly,templated,256,44936,17408.0,22.601481610763585,30.94205450906884,44.24326094259346,3010.105,2509.5212349262865,11.75822265625,nvml,0,True,results_full/gemma4_12b/dolly/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_dolly_templated.json
google/gemma-4-12B-it,samsum,rag,256,68182,34688.0,23.70527254129229,32.663251215126365,42.18324276737564,3275.855,2749.88019743326,12.79630859375,nvml,0,True,results_full/gemma4_12b/samsum/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_samsum_rag.json
google/gemma-4-12B-it,samsum,templated,256,64854,34368.0,23.392671027522738,32.33845726936124,42.74685239523903,3190.072,2677.6569788239585,12.46121875,nvml,0,True,results_full/gemma4_12b/samsum/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_samsum_templated.json
google/gemma-4-12B-it,xsum,rag,256,105097,22784.0,35.305164220972074,43.685527009074576,28.323651792507047,5334.563,4545.470871948086,20.83813671875,nvml,0,True,results_full/gemma4_12b/xsum/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_xsum_rag.json
google/gemma-4-12B-it,xsum,templated,256,101769,21440.0,34.53347845788812,43.35342251579277,28.956576727968077,5218.759,4484.467034462601,20.38577734375,nvml,0,True,results_full/gemma4_12b/xsum/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_xsum_templated.json
google/gemma-4-26B-A4B-it,ag_news,rag,256,43476,25312.0,25.687632527478854,28.362117751385085,38.927475937053295,2663.387,2106.038732795906,10.40385546875,nvml,0,True,results_full/gemma4_26b_a4b/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-26B-A4B-it_public_dataset_ag_news_rag.json
google/gemma-4-26B-A4B-it,ag_news,templated,256,40916,25184.0,24.70536612804608,27.38707751268521,40.475190448175915,2524.652,2007.2572714541484,9.861921875,nvml,0,True,results_full/gemma4_26b_a4b/ag_news/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-26B-A4B-it_public_dataset_ag_news_templated.json
google/gemma-4-26B-A4B-it,daily_dialog,rag,256,53705,33760.0,24.946565803929843,30.63460497651249,40.084076230928126,2609.168,2072.9042536284855,10.1920625,nvml,0,True,results_full/gemma4_26b_a4b/daily_dialog/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-26B-A4B-it_public_dataset_daily_dialog_rag.json
