model,prefix_target_tokens,prefix_actual_tokens,warmup_iters,measured_iters,store_latency_mean_ms,store_latency_median_ms,store_latency_p95_ms,probe_latency_mean_ms,probe_latency_median_ms,probe_latency_p95_ms,median_latency_saving_ms,saving_per_cached_token_ms,probe_cached_tokens_mean,probe_cached_tokens_median,probe_uncached_tokens_mean,cache_effective
Qwen/Qwen2.5-1.5B-Instruct,8,8,5,20,6.948774156626314,6.861562491394579,7.550141075626016,6.908922491129488,6.821210845373571,7.422852097079158,0.04035164602100849,0.04035164602100849,0.0,0.0,26.75,False
Qwen/Qwen2.5-1.5B-Instruct,16,16,5,20,6.752836960367858,6.74408208578825,7.064030971378088,6.803816847968847,6.743100471794605,7.2682329919189215,0.0009816139936447144,0.0009816139936447144,0.0,0.0,33.75,False
Qwen/Qwen2.5-1.5B-Instruct,32,32,5,20,7.258137140888721,7.000692305155098,8.314590901136398,7.171462965197861,6.931873387657106,8.0572001170367,0.06881891749799252,0.06881891749799252,0.0,0.0,50.75,False
Qwen/Qwen2.5-1.5B-Instruct,48,48,5,20,6.805048126261681,6.807866506278515,6.9851630832999945,6.892250757664442,6.866125040687621,7.119364105165005,-0.05825853440910578,-0.05825853440910578,0.0,0.0,66.75,False
Qwen/Qwen2.5-1.5B-Instruct,64,64,5,20,6.917142844758928,6.82358059566468,7.115878164768219,6.93808306241408,6.888051517307758,7.454210892319679,-0.06447092164307833,-0.06447092164307833,0.0,0.0,82.75,False
Qwen/Qwen2.5-1.5B-Instruct,96,96,5,20,6.8975793197751045,6.8066994426772,7.331390865147114,6.9983474793843925,6.861982983537018,7.52154691144824,-0.05528354085981846,-0.05528354085981846,0.0,0.0,114.75,False
Qwen/Qwen2.5-7B-Instruct,8,8,5,20,14.787628222256899,14.676983002573252,16.051270067691803,14.751533151138574,14.666438568383455,15.615154057741165,0.010544434189796448,0.010544434189796448,0.0,0.0,26.75,False
Qwen/Qwen2.5-7B-Instruct,16,16,5,20,14.627974305767566,14.4453743705526,15.604723943397403,14.554085570853204,14.428212423808873,15.464171068742871,0.01716194674372673,0.01716194674372673,0.0,0.0,34.75,False
Qwen/Qwen2.5-7B-Instruct,32,32,5,20,14.36284160008654,14.35929792933166,15.21247997879982,14.58325560670346,14.462962164543569,15.25311591103673,-0.10366423521190882,-0.10366423521190882,0.0,0.0,49.75,False
Qwen/Qwen2.5-7B-Instruct,48,48,5,20,14.311652479227632,14.387055533006787,14.558997005224228,14.457524241879582,14.483516104519367,14.872583793476224,-0.09646057151257992,-0.09646057151257992,0.0,0.0,66.75,False
Qwen/Qwen2.5-7B-Instruct,64,64,5,20,14.465985505376011,14.508306980133057,15.06923302076757,14.561757422052324,14.468218083493412,15.636743977665901,0.0400888966396451,0.0400888966396451,0.0,0.0,81.75,False
Qwen/Qwen2.5-7B-Instruct,96,96,5,20,14.658558403607458,14.458533492870629,15.572404023259878,14.723082166165113,14.421114581637084,16.208634013310075,0.03741891123354435,0.03741891123354435,0.0,0.0,114.75,False
Qwen/Qwen2.5-32B-Instruct,8,8,5,20,50.06669879658148,50.06448447238654,51.10689112916589,50.14058651868254,50.36202655173838,50.99731497466564,-0.2975420793518424,-0.2975420793518424,0.0,0.0,26.75,False
Qwen/Qwen2.5-32B-Instruct,16,16,5,20,49.96739544440061,50.04405707586557,50.70052016526461,50.122681458014995,50.418271915987134,50.77336588874459,-0.37421484012156725,-0.37421484012156725,0.0,0.0,34.75,False
Qwen/Qwen2.5-32B-Instruct,32,32,5,20,50.12581120245159,50.125628942623734,50.58046500198543,50.363206351175904,50.39226345252246,51.023463951423764,-0.26663450989872217,-0.26663450989872217,0.0,0.0,50.75,False
Qwen/Qwen2.5-32B-Instruct,48,48,5,20,50.13081601355225,50.13291258364916,50.715537974610925,50.33833513734862,50.32481637317687,51.06573295779526,-0.19190378952771425,-0.19190378952771425,0.0,0.0,66.75,False
Qwen/Qwen2.5-32B-Instruct,64,64,5,20,49.95217565447092,49.83434802852571,51.0327008087188,50.226701935753226,50.322591909207404,50.86648906581104,-0.48824388068169355,-0.48824388068169355,0.0,0.0,82.75,False
Qwen/Qwen2.5-32B-Instruct,96,96,5,20,50.02997430274263,50.0966040417552,50.412429962307215,50.28129160637036,50.46403140295297,50.86254305206239,-0.36742736119776964,-0.36742736119776964,0.0,0.0,114.75,False
