phase,dataset,mode,baseline,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
full,ag_news,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json,256,52.5574826169759,51.566622918471694,54.1416157502681,62.43415437638757,19.026786486097855,41243,41499,0,41243.0,25344.0,25344.0,25344.0,7011.261,5692.129472365195,27.38773828125,22.234880751426545,0.16999881191959848,nvml,,False,balanced,0,0,0,0
full,ag_news,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json,256,52.27168302371865,51.781561924144626,54.22599648591131,58.30823723226779,19.13081695774446,41243,41499,0,41243.0,25344.0,25344.0,25344.0,6983.126,5641.035659564451,27.2778359375,22.035295545173636,0.1693166355502752,nvml,,True,low_latency,255,1,1,1
full,ag_news,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json,256,61.70035854484013,61.277779284864664,63.615639111958444,73.46522794105093,16.207361246908473,41243,41499,0,0.0,0.0,0.0,0.0,9444.189,7952.595115032557,36.89136328125,31.064824668095927,0.2289888950852266,nvml,,False,balanced,0,0,0,0
full,ag_news,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json,256,52.830480997727136,52.00776783749461,54.69307512976229,62.36693875398483,18.92846669412345,38427,38683,0,38427.0,22000.0,22000.0,22000.0,7027.306,5706.556313238776,27.4504140625,22.29123559858897,0.18287417701095582,nvml,,False,balanced,0,0,0,0
full,ag_news,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json,256,52.27566129542538,52.04731784760952,54.46755746379495,58.69006093125785,19.129361068216838,38427,38683,0,38427.0,22000.0,22000.0,22000.0,7013.614,5635.443921239782,27.3969296875,22.0134528173429,0.18251786504280842,nvml,,True,low_latency,255,1,1,1
full,ag_news,templated,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/templated/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json,256,60.64299878926249,60.6447015888989,62.132644932717085,65.70746577344832,16.489949705077265,38427,38683,0,0.0,0.0,0.0,0.0,9249.444,7738.550601540892,36.130640625,30.22871328726911,0.24070169412132095,nvml,,False,balanced,0,0,0,0
full,daily_dialog,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json,256,52.37463638331974,50.98157189786434,60.74369139969349,64.34578322805464,19.093211314751574,50606,50862,0,50606.0,33664.0,33664.0,33664.0,7057.486,5750.352525040533,27.5683046875,22.46231455093958,0.13945947120894756,nvml,,False,balanced,0,0,0,0
full,daily_dialog,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json,256,52.51388840042637,50.96438992768526,60.967686818912625,64.13450192194432,19.04258150481732,50606,50862,0,50606.0,33664.0,33664.0,33664.0,7056.973,5713.949579392986,27.56630078125,22.320115544503853,0.13944933407105878,nvml,,True,low_latency,255,1,1,1
full,daily_dialog,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json,256,65.38521712172951,63.04523651488125,84.03250342234969,85.16898243688046,15.293976896004974,50606,50862,0,0.0,0.0,0.0,0.0,10024.165,8318.589115699533,39.15689453125,32.4944887332013,0.19808253961980796,nvml,,False,balanced,0,0,0,0
full,daily_dialog,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json,256,52.95889851367974,51.01849744096398,61.26535846851766,64.53352670650929,18.882567954877146,46766,47022,0,46766.0,29584.0,29584.0,29584.0,7082.975,5746.7288922609105,27.66787109375,22.44815973539418,0.15145565154171836,nvml,,False,balanced,0,0,0,0
full,daily_dialog,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json,256,52.59931406544638,51.239444175735116,60.76273135840893,63.8464068993926,19.011654767127876,46766,47022,0,46766.0,29584.0,29584.0,29584.0,7126.072,5726.9883166634,27.83621875,22.371048111966406,0.15237719710901082,nvml,,True,low_latency,255,1,1,1
